,source_name,source_link,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,fatality_count,injury_count,event_import_source,event_import_id,admin_division_name,admin_division_population,longitude,latitude,Country_Name,event_year,event_month,event_week,event_day,event_date_hour,event_date_minute
0,72,6673,6529,0,5,11,0,11,0,1,684,685,0,107,32,26,2008,8,31,1,0,0
1,1048,4830,3743,6,6,3,2,0,0,1,956,552,36619,-122,45,134,2009,1,1,2,2,0
2,215,6759,6270,2,5,3,0,10,0,1,973,326,14708,-75,-11,97,2007,1,3,19,0,0
3,1158,6678,1688,0,5,8,1,1,0,1,1067,453,20908,81,28,86,2009,7,31,31,0,0
4,1335,4920,8658,6,5,13,1,0,0,1,2603,128,798634,123,10,98,2010,10,41,16,12,0
5,201,2491,5360,6,5,3,1,0,0,1,4203,201,2404,124,10,98,2012,2,7,16,0,0
6,1404,5410,5512,6,6,3,2,0,0,1,4290,833,2126,-117,48,134,2012,3,13,30,0,0
7,315,2740,8172,2,0,13,1,3,0,1,225,700,3191,-107,24,80,2007,9,35,2,0,0
8,847,1012,7769,6,6,11,1,0,0,1,236,300,2689,-114,43,134,2007,9,36,5,0,0
9,1486,6801,3859,2,0,3,1,2,0,1,873,869,0,100,23,26,2008,11,44,1,0,0
10,157,1126,3645,4,0,3,1,4,0,1,874,869,1023674,102,25,26,2008,11,44,1,0,0
11,1045,0,7507,0,5,3,3,0,0,1,8253,552,12883,-122,45,134,2014,12,51,21,8,10
12,1178,5223,6734,2,6,11,2,0,0,1,954,552,4864,-122,45,134,2009,1,1,1,22,24
14,70,1091,2158,6,5,3,1,0,1,1,955,82,6721,124,12,98,2009,1,1,2,20,30
15,1047,4830,6871,2,6,11,2,0,0,1,957,552,583776,-122,45,134,2009,1,1,3,0,0
16,537,3417,7865,1,5,11,2,0,0,1,958,516,1150,-83,35,134,2009,1,2,7,1,41
17,1047,4829,6015,6,5,11,2,0,0,1,959,552,1895,-122,46,134,2009,1,2,7,0,0
18,167,6672,6647,6,6,11,2,0,0,1,961,833,6335,-122,47,134,2009,1,2,7,0,0
19,306,3238,1602,6,5,3,1,0,0,1,962,833,1347,-121,48,134,2009,1,2,7,0,0
20,306,3238,362,1,6,11,2,0,0,1,963,833,6441,-122,48,134,2009,1,2,7,0,0
21,1274,1662,1180,6,6,3,2,0,0,1,964,833,11925,-122,46,134,2009,1,2,8,0,0
22,1195,5272,292,6,0,11,2,0,0,1,965,833,22699,-122,47,134,2009,1,2,8,1,0
23,1308,2377,4388,6,6,11,2,0,0,1,966,833,3324,-122,48,134,2009,1,2,8,6,0
24,1158,6788,1412,6,5,3,1,6,0,1,968,322,148000,5,36,2,2009,1,3,13,0,0
25,189,2425,6156,1,6,11,2,0,0,1,969,833,33505,-122,47,134,2009,1,3,13,8,50
26,1407,6795,6389,2,5,11,1,0,0,1,971,680,570407,110,1,78,2009,1,3,16,13,0
27,919,4526,1207,4,5,11,1,4,0,1,972,536,0,116,-8,57,2009,1,4,19,23,0
28,1158,6789,2137,6,5,3,1,7,0,1,1085,845,802639,-13,8,111,2009,8,33,13,0,0
29,574,3581,4454,6,5,3,1,2,0,1,974,94,64409,115,5,18,2009,1,4,22,0,0
30,276,2600,4254,7,5,3,1,2,0,1,975,767,12294193,-99,19,80,2009,1,4,22,0,0
31,61,2068,6732,6,6,3,1,2,0,1,976,110,959470,14,40,62,2009,1,5,26,0,0
32,1039,6774,3432,2,5,3,1,0,0,1,1055,79,46427,88,26,56,2009,7,30,22,0,0
33,53,19,6521,6,6,11,2,0,0,1,978,109,10917,-118,34,134,2009,2,6,6,0,0
34,1039,6774,2209,2,5,3,1,0,0,1,1054,79,46427,88,26,56,2009,7,30,22,0,0
35,510,3281,780,6,5,3,1,2,0,1,980,128,0,123,9,98,2009,2,6,7,0,0
36,510,3282,6599,2,5,3,1,2,0,1,983,106,4164,121,14,98,2009,9,37,9,0,0
37,379,373,6075,1,6,3,2,0,0,1,1010,828,1463,-79,37,134,2009,4,17,20,9,0
38,931,6689,6862,6,0,3,2,0,0,1,1118,756,19972,145,-41,7,2009,8,34,23,0,0
39,1167,1550,1771,7,5,8,1,3,0,1,1048,851,200000,83,28,86,2009,7,27,2,3,0
40,1167,1550,1791,4,5,8,1,2,0,1,1049,851,0,84,27,86,2009,7,27,2,0,0
41,574,3580,2749,6,5,3,1,6,0,1,1053,863,116925,131,34,65,2009,7,30,21,0,0
43,1082,198,2729,2,5,3,1,2,0,1,1058,283,1143841,132,34,65,2009,7,30,24,0,0
44,277,2605,7802,6,5,3,1,6,0,1,1060,695,0,103,31,26,2009,7,30,25,0,0
45,1289,6793,222,1,5,3,1,0,0,1,1061,512,1464,88,27,56,2009,7,27,1,5,40
46,919,4527,6976,4,5,8,0,13,0,1,1062,512,1600,85,28,86,2009,7,31,27,0,0
47,1158,6678,27,7,5,8,1,5,0,1,1065,851,21867,83,28,86,2009,7,31,31,0,0
48,105,2154,4275,2,6,3,1,0,0,1,1181,14,2369,-132,56,134,2009,9,38,20,18,30
49,105,2154,4270,6,6,3,1,0,0,1,1187,14,2369,-132,56,134,2009,9,39,22,2,0
50,105,2154,4274,6,6,3,1,0,0,1,1188,14,2369,-132,56,134,2009,9,39,22,5,0
51,784,3938,275,1,6,3,2,0,0,1,1312,833,6651,-122,47,134,2009,11,47,18,0,0
52,1351,6785,219,4,5,3,1,0,0,1,1319,123,31352,109,-7,57,2009,11,47,21,0,0
54,1549,6503,1652,6,6,3,2,0,0,1,1353,762,167674,-85,35,134,2009,12,50,9,0,0
55,1549,6503,6527,6,6,3,2,0,0,1,1354,762,7554,-85,35,134,2009,12,50,9,0,0
56,227,2669,5944,4,6,3,0,22,28,1,1382,627,153635,-44,-23,17,2010,1,53,1,0,0
57,1045,0,5136,0,5,3,3,0,0,1,8208,552,3742,-123,45,134,2015,2,6,6,13,18
58,2051,655,7265,1,5,3,1,0,0,1,1617,627,456456,-43,-22,17,2010,4,14,5,0,0
59,383,2964,1447,4,5,3,1,0,0,1,2164,434,15118,94,25,56,2010,7,30,29,23,0
60,353,6760,2255,6,5,3,1,0,0,1,2216,233,2005,74,36,93,2010,8,31,6,0,0
61,1335,4920,810,4,5,13,1,0,0,1,2601,128,48638,123,10,98,2010,10,41,16,0,0
62,2113,761,3639,4,5,11,1,1,0,1,3821,807,32442,79,29,56,2011,7,29,21,0,0
63,1335,4920,8084,4,5,13,1,0,0,1,2607,128,7779,123,10,98,2010,10,41,17,0,0
64,1335,4920,809,2,5,13,1,0,0,1,2608,128,2968,123,10,98,2010,10,41,17,0,0
65,540,0,4833,2,6,3,4,0,0,1,2988,627,153361,-42,-22,17,2011,1,2,12,0,0
66,1468,0,1845,4,5,11,1,2,0,1,37,343,14711,74,33,56,2007,3,12,19,0,0
67,1522,6347,8432,1,6,3,2,0,0,1,3463,821,2386,-73,44,134,2011,5,18,4,9,0
68,594,764,4678,7,5,3,1,0,0,1,3669,807,17123,78,30,56,2011,6,26,29,0,0
69,1709,2262,6127,0,5,3,1,2,0,1,3712,851,91733,83,27,86,2011,7,26,3,0,0
70,2958,2107,6326,6,5,11,1,0,0,1,5154,128,798634,123,10,98,2013,7,29,21,0,0
